؋	అఫ్గానీ అఫ్గానీ
l	అల్బేనియన్ లెక్
دج	అల్జీరియన్ దినార్
kz	ఆంగోలిన్ క్వాన్‌జా
aed	అరబ్ అమీరాత్ దిరహమ్
$	అర్జెంటీనియన్ పేసో
֏	ఆర్మేనియన్ డ్రామ్
ƒ	అరూ‌బన్ ఫ్లోరిన్
a$	ఆస్ట్రేలియన్ డాలర్
₼	అజర్బైజానీ మనాట్
b$	బహామియన్ డాలర్
.د.ب	బహరైన దిరహమ్
৳	బంగ్లాదేశి టకా
$	బార్బేడియన్ డాలర్
br	బెలారుసియన్ రూపల్
bz$	బెలీజ్ డాలర్
$	బర్మూడియన్ డాలర్
nu	భూటానీ ఙుల్త్రూమ్
₿	బిట్‌కోయిన్
bs	బోలివియన్ బోలివియానో
km	బోస్నియా మరియు హెర్జెగోవినా మార్క్
p	బోৎস్వానా పులా
r$	బ్రెజీల్ రియాల్
£	బ్రిటిష్ పౌండ్
£	పౌండ్
b$	బ్రూనేయం డాలర్
лв	బల్గేరియన్ లెవ్
fbu	బురundi ఫ్రాంక్
៛	కంబోడియన్ రియల్
ca$	కనడా డాలర్
cve	కేప్ వర్డ్ ఎస్కూడో
cve	కేప్ వర్డియన్ ఎస్కూడో
ci$	కేమన్ ఐలాండ్స్ డాలర్
cfa	సీఎఫ్ఏ ఫ్రాంక్
$	చిలీ పేసో
元	చైనా యుయాన్
$	కొలంబియన్ పేసో
cf	కొమోరియన్ ఫ్రాంక్
fc	కాంగోలీసు ఫ్రాంక్
₡	కోస్టా రికా కొలాన్
kn	క్రొయేషియన్ కునా
cuc$	క్యూబన్ పేసో
cyp	సైప్రస్ పౌండ్
kč	చెక్ కరోనా
d	డాలాసీ
kr	డెనిష్ క్రోన్
fdj	జిబూతి ఫ్రాంక్
$	డాలర్
rd$	డొమినికన్ పేసో
$	పూర్వ కరీబియన్ డాలర్
e£	మిస్రీ పౌండ్
aed	అమీరాత్ దిరహమ్
nkf	ఎరిట్రియన్ నక్ఫా
Ξ	ఇథీరియమ్
br	ఈథియోపియన్ బిర్క్
€	యూరో
fk£	ఫాల్క్లాండ్ ఐలాండ్స్ పౌండ్
fim	ఫిన్నిష్ మార్క్కా
₾	జార్జియన్ లారీ
dm	జర్మన్ మార్క్
gh₵	ఘానియన్ సెడీ
q	గ్వాటెమాలన్ క్వెట్జల్
fg	గినియా ఫ్రాంక్
g$	గయానీ డాలర్
g	హైటియన్ గోర్డ
l	హోండురస్ లెంపిరా
hk$	హాంగ్ కాంగ్ డాలర్
ft	హంగేరియన్ ఫోరింట్
íkr	ఐస్లాండిక్ క్రోనా
₹	భారతీయ రూపాయి
₹	రూ‌పాయి
₹	రూ‌పియా
₹	రూ‌పేయ
₹	రూ‌పాయి
₹	రూ‌పాయ
p	పైస
p	పైసే
rp	ఇండోనేషియన్ రూపియా
﷼	ఇరానీ రియాల్
ع.د	ఇరాక్ దినార్
₪	ఇజ్రాయిలీ న్యూ శేకెల్
₪	ఇజ్రాయిలీ శేకెల్
j$	జమైకన్ డాలర్
¥	జపనీస్ యెన్
ينار	జోర్డానియన్ దినార్
₸	కజకిస్తాన్ టెంగే
ksh	కెన్యా షిల్లింగ్
ك	కువైతీ దినార్
k	క్యాత్
som	కిర్గిజ్‌స్తానీ సోమ్
₭	లావో కిప్
ლარი	లారీ
ل.ل	లెబనీస్ పౌండ్
l	లెసోథో లోటి
ld$	లైబీరియన్ డాలర్
ld	లిబియన్ దినార్
l	లిలాంఘేని
ł	లైట్‌కాయిన్
mop$	మకావు పటాకా
ar	మలగాసీ ఎరియారీ
k	మలావియన్ క్వాచా
rm	మలేషియన్ రింగ్‌గిట్
rf	మాల్డివియన్ రూపియా
mro	మొరిటానియన్ అగువియా
₨	మోరిషియన్ రూపాయి
$	మెక్సికన్ పేసో
l	మోల్డోవన్ ల్యూన్
ɱ	మోనీరో
₮	మంగోలియన్ టోగ్రోగ్
dh	మారొక్కన్ దిరహమ్
mt	మొజాంబికన్ మెటికల్
n$	నామీబియన్ డాలర్
rs	నేపాలీ రూపాయి
ƒ	నెడర్లాండ్స్ ఎంటిలియన్ గిల్డర్
nt$	కొత్త తైవాన్ డాలర్
nz$	కొత్త జీలా డాలర్
c$	నికారాగువాన్ కర్డోబా
₦	నైజీరియన్ నైరా
₩	ఉత్తర కొరియా వోన్
kr	నార్వేజియన్ క్రోన
ر.ع	ఓమాని రియాల్
um	అగ్వియా
pkr	పాకిస్తానీ రూపాయి
b/.	పనామా బాల్బోయా
₲	ప্যারాగ్వే గువరానీ
s/.	పెరూ సోల్
₱	ఫిలిప్పిన్ పేసో
zł	పోలిష్ జ్లొటీ
£	పౌండ్ స్టర్లింగ్
ر.ق	కతార్ రియాల్
£	క్విడ్
r	రియాల్
xrp	రిపల్స్
lei	రోమానియన్ ల్యూన్
₹	రూ‌పాయి
₽	రష్యన్ రూపల్
r₣	రవాండా ఫ్రాంక్
shp	సెంట్ హెలినా పౌండ్స్
db	సావో టోమే మరియు ప్రిన్సిపే డోబ్రా
sar	సౌది రియాల్
ден	మాసెడోనియన్ దినార్
rsd	సెర్బియన్ దినార్
scr	సెషెల్స్ రూపాయి
le	సియెరా లియోన్ లియోన్
s$	సింగపూర్ డాలర్
sh.so.	సోమాలియన్ షిల్లింగ్
tjs	సోమోని
r	దక్షిణ ఆఫ్రికన్ ర్యాండ్
₩	దక్షిణ కొరియా వోన్
ss£	దక్షిణ సూడానీ పౌండ్
රු	శ్రీలంక రూపాయి
sdg	సుడాన్ పౌండ్
sr$	సురినామీ డాలర్
kr	స్వీడిష్ క్రోన
chf	స్విస్ ఫ్రాంక్
£s	సిరియన్ పౌండ్
৳	టకా
৳	ట్కే
tzs	తంజానియన్ షిల్లింగ్
₮	టెథర్
฿	థాయ్ బాత్
tt$	త్రినిడాడ్ మరియు టోబాగో డాలర్
د.ت	ట్యూనిషియన్ దినార్
₺	టర్కీ లిరా
m	టర్క్మెన్ కొత్త మనాట్
ush	యుగాండా షిల్లింగ్
₴	యుక్రెయిన్ గ్రివ్నా
$	యునైటెడ్ స్టేట్స్ డాలర్
$u	ఉరుగ్వే పేసో
$	అమెరికన్ డాలర్
$	డాలర్
som	ఉజ్బెకిస్తాన్ సోమ్
bs.	వెनेజులన్ బాలివర్
₫	వియట్నామి డాంగ్
₩	వోన్
₩	వాన్
﷼	యెమనీ రియాల్
¥	యెన్
₺	లీరా
₦	నైరా
¢	సెంట్స్
¢	సెంట్
