°C	డిగ్రీ సెల్సియస్  
°F	డిగ్రీ ఫారెన్‌హీట్  
K	కెల్విన్  
g	గ్రామ్  
kg	కిలోగ్రామ్  
mg	మిల్లీగ్రామ్  
cg	సెంటీగ్రామ్  
dg	డెసీగ్రామ్  
Tg	టెరాగ్రామ్  
Mg	మెగాగ్రామ్  
Gg	గిగాగ్రామ్  
hg	హెక్టోగ్రామ్  
dag	డెకాగ్రామ్  
lb	పౌండ్  
oz	ఔన్స్  
t	టన్  
st	స్టోన్  
q	క్వింటాల్  
m	మీటర్  
cm	సెంటీమీటర్  
mm	మిల్లీమీటర్  
km	కిలోమీటర్  
dm	డెసీమీటర్  
dam	డెకామీటర్  
nm	నానోమీటర్  
hm	హెక్టోమీటర్  
Mm	మెగామీటర్  
my	మిరియామీటర్  
mi	మైలు  
ft	అడుగు  
in	అంగుళం  
yd	గజం  
µm	మైక్రోమీటర్  
m²	చదరపు మీటర్  
cm²	చదరపు సెంటీమీటర్  
mm²	చదరపు మిల్లీమీటర్  
km²	చదరపు కిలోమీటర్  
hm²	చదరపు హెక్టోమీటర్  
dm²	చదరపు డెసీమీటర్  
dam²	చదరపు డెకామీటర్  
yd²	చదరపు గజం  
ft²	చదరపు అడుగు  
ac²	చదరపు ఎకరం  
my²	చదరపు మిరియామీటర్  
mi²	చదరపు మైలు  
nm²	చదరపు నానోమీటర్  
µm²	చదరపు మైక్రోమీటర్  
in²	చదరపు అంగుళం  
my³	ఘన మిరియామీటర్  
mi³	ఘన మైలు  
ac³	ఘన ఎకరం  
ha	హెక్టేరు  
ac	ఎకరం  
గజ	గజం  
గజ²	చదరపు గజం  
గజ³	ఘన గజం  
m³	ఘన మీటర్  
cm³	ఘన సెంటీమీటర్  
mm³	ఘన మిల్లీమీటర్  
dam³	ఘన డెకామీటర్  
µm³	ఘన మైక్రోమీటర్  
ml³	ఘన మిల్లీలీటర్  
l	లీటర్  
kl	కిలోలీటర్  
ml	మిల్లీ లీటర్  
ml²	చదరపు మిల్లీ లీటర్  
dl	డెసీలీటర్  
hl	హెక్టోలీటర్  
cl	సెంటీలీటర్  
dal	డెకాలీటర్  
dl²	చదరపు డెసీలీటర్  
dal²	చదరపు డెకాలీటర్  
dl³	ఘన డెసీలీటర్  
dal³	ఘన డెకాలీటర్  
L	లీటర్  
kL	కిలోలీటర్  
mL	మిల్లీ లీటర్  
mL²	చదరపు మిల్లీ లీటర్  
mL³	ఘన మిల్లీ లీటర్  
dL	డెసీలీటర్  
hL	హెక్టోలీటర్  
cL	సెంటీలీటర్  
daL	డెకాలీటర్  
dL²	చదరపు డెసీలీటర్  
daL²	చదరపు డెకాలీటర్  
dL³	ఘన డెసీలీటర్  
daL³	ఘన డెకాలీటర్  
GB	గిగాబైట్  
in³	ఘన అంగుళం  
ft³	ఘన అడుగు  
yd³	ఘన గజం  
my³	ఘన మిరియామీటర్  
mi³	ఘన మైలు  
dm³	ఘన డెసీమీటర్  
dm³	ఘన డెసీమీటర్  
km³	ఘన కిలోమీటర్  
nm³	ఘన నానోమీటర్  
mm³	ఘన మిల్లీమీటర్  
qt	క్వార్ట్  
gal	గ్యాలన్  
pt	పింట్  
W	వాట్  
MW	మెగావాట్  
KW	కిలోవాట్  
b	బిట్  
Mb	మెగాబిట్  
B	బైట్  
GB	గిగాబైట్  
KB	కిలోబైట్  
TB	టెరాబైట్  
MB	మెగాబైట్  
PB	పెటాబైట్  
EB	ఎక్సాబైట్  
ZB	జెటాబైట్  
YB	యోటాబైట్  
BB	బ్రోంటోబైట్  
C	కులాంబ్  
V	వోల్ట్  
Pa	పాస్కల్  
A	అంపియర్  
J	జౌల్  
s	సెకను  
hr	గంట  
h	గంటలు  
min	నిమిషం  
ha	హెక్టేరు  
ha²	చదరపు హెక్టేరు  
Ω	ఓహమ్  
MΩ	మెగాఓహమ్  
doz	డజను  
Hz	హెర్ట్జ్  
GHz	గిగాహెర్ట్జ్  
KHz	కిలోహెర్ట్జ్  
N	న్యూటన్  
dB	డెసిబెల్  
yr	సంవత్సరం  
yr	సంవత్సరం  
hp	హార్స్ పవర్  
d	రోజు  
month	నెల  
months	నెలలు  
ct	క్యారెట్  
pH	పిహెచ్  
km/hr	కిలోమీటర్ ప్రతి గంట  
km/min	కిలోమీటర్ ప్రతి నిమిషం  
m/hr	మీటర్ ప్రతి గంట  
mi/s	మైలు ప్రతి సెకను  
mi/hr	మైలు ప్రతి గంట  
mi/min	మైలు ప్రతి నిమిషం  
₹/ac	రూపాయలు ప్రతి ఎకరం  
x	గుణించు  
X	గుణించు  
*	గుణించు  
-	తగ్గించు  
